Uberstrain	Name	Comment	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Simple Disease	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	Status	Coverage	N50	Length	Species	Contig Number(>=200 bp)	Low Quality Bases	Version	Assembly barcode
ESC_ZA5462AA	CAN61	PATH-SAFE project	traces-0GuZvkK;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5462AA	Assembled	93	364650	5294175	Escherichia coli / Shigella;98.31%	108	17877	4.1	ESC_DC3030AA_AS
ESC_ZA5463AA	CAN60	PATH-SAFE project	traces-0ztQEtZ;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5463AA	Assembled	118	433074	5195850	Escherichia coli / Shigella;97.67%	75	46374	4.1	ESC_DC3031AA_AS
ESC_ZA5464AA	CAN63	PATH-SAFE project	traces-0luabpu;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5464AA	Assembled	262	352019	5099792	Escherichia coli / Shigella;100.0%	82	10671	4.1	ESC_DC3032AA_AS
ESC_ZA5465AA	CAN62	PATH-SAFE project	traces-0DWxiqU;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5465AA	Assembled	76	198439	5231174	Escherichia coli / Shigella;100.0%	102	19377	4.1	ESC_DC3033AA_AS
ESC_ZA5466AA	CAN65	PATH-SAFE project	traces-0BuWsBE;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5466AA	Assembled	135	207848	5468183	Escherichia coli / Shigella;98.67%	121	257231	4.1	ESC_DC3034AA_AS
ESC_ZA5467AA	CAN64	PATH-SAFE project	traces-0REJjOv;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5467AA	Assembled	84	287200	5266495	Escherichia coli / Shigella;100.0%	85	16495	4.1	ESC_DC3035AA_AS
ESC_ZA5468AA	CAN67	PATH-SAFE project	traces-0xgjZAy;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5468AA	Assembled	79	316623	5143334	Escherichia coli / Shigella;97.22%	115	12342	4.1	ESC_DC3036AA_AS
ESC_ZA5469AA	CAN66	PATH-SAFE project	traces-0mICgAH;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5469AA	Assembled	117	580373	5079179	Escherichia coli / Shigella;97.56%	54	11081	4.1	ESC_DC3037AA_AS
ESC_ZA5470AA	HU01	PATH-SAFE project	traces-0dAMBrA;ILLUMINA;Paired;;;Uploaded	Human	Human		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5470AA	Assembled	137	319830	5131542	Escherichia coli / Shigella;94.74%	50	13723	4.1	ESC_DC3038AA_AS
ESC_ZA5471AA	CAN169	PATH-SAFE project	traces-0zZWVAB;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5471AA	Assembled	60	223002	5311115	Escherichia coli / Shigella;97.14%	117	38003	4.1	ESC_DC3039AA_AS
ESC_ZA5472AA	CAN168	PATH-SAFE project	traces-0scNKtG;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5472AA	Assembled	91	448830	5168379	Escherichia coli / Shigella;93.02%	57	69544	4.1	ESC_DC3040AA_AS
ESC_ZA5473AA	HU05	PATH-SAFE project	traces-0DpJDSP;ILLUMINA;Paired;;;Uploaded	Human	Human		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5473AA	Assembled	153	179784	5004509	Escherichia coli / Shigella;98.34%	79	12774	4.1	ESC_DC3041AA_AS
ESC_ZA5474AA	HU07	PATH-SAFE project	traces-0ADZsEf;ILLUMINA;Paired;;;Uploaded	Human	Human		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5474AA	Assembled	87	347466	4764226	Escherichia coli / Shigella;93.75%	44	9465	4.1	ESC_DC3042AA_AS
ESC_ZA5475AA	HU06	PATH-SAFE project	traces-0ABKjRF;ILLUMINA;Paired;;;Uploaded	Human	Human		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5475AA	Assembled	142	346485	4895572	Escherichia coli / Shigella;100.0%	38	8233	4.1	ESC_DC3043AA_AS
ESC_ZA5476AA	CAN163	PATH-SAFE project	traces-0mfWvfH;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5476AA	Assembled	77	338802	5285695	Escherichia coli / Shigella;98.19%	89	18413	4.1	ESC_DC3044AA_AS
ESC_ZA5477AA	CAN162	PATH-SAFE project	traces-0BRrHXj;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5477AA	Assembled	62	391888	5232169	Escherichia coli / Shigella;97.44%	53	28184	4.1	ESC_DC3045AA_AS
ESC_ZA5478AA	CAN161	PATH-SAFE project	traces-0XiUKvr;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5478AA	Assembled	120	295056	5184502	Escherichia coli / Shigella;96.66%	99	66777	4.1	ESC_DC3046AA_AS
ESC_ZA5479AA	CAN160	PATH-SAFE project	traces-0eEYxjX;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5479AA	Assembled	84	317025	5149396	Escherichia coli / Shigella;96.56%	91	46104	4.1	ESC_DC3047AA_AS
ESC_ZA5480AA	CAN167	PATH-SAFE project	traces-0cbrnSL;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5480AA	Assembled	93	394869	4578255	Escherichia coli / Shigella;92.0%	30	7369	4.1	ESC_DC3048AA_AS
ESC_ZA5481AA	CAN166	PATH-SAFE project	traces-0JXifdO;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5481AA	Assembled	50	224143	5202276	Escherichia coli / Shigella;98.39%	95	23167	4.1	ESC_DC3049AA_AS
ESC_ZA5482AA	CAN165	PATH-SAFE project	traces-0AofHQo;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5482AA	Assembled	152	299763	4872577	Escherichia coli / Shigella;100.0%	53	26677	4.1	ESC_DC3050AA_AS
ESC_ZA5483AA	CAN164	PATH-SAFE project	traces-0APoNBo;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5483AA	Assembled	97	433200	5236101	Escherichia coli / Shigella;97.44%	56	62408	4.1	ESC_DC3051AA_AS
ESC_ZA5484AA	HU67	PATH-SAFE project	traces-0GwGUyN;ILLUMINA;Paired;;;Uploaded	Human	Human		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5484AA	Assembled	101	180596	5257066	Escherichia coli / Shigella;98.72%	130	27173	4.1	ESC_DC3052AA_AS
ESC_ZA5485AA	HU66	PATH-SAFE project	traces-0vGRKDb;ILLUMINA;Paired;;;Uploaded	Human	Human		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5485AA	Assembled	82	306186	4838749	Escherichia coli / Shigella;100.0%	64	12665	4.1	ESC_DC3053AA_AS
ESC_ZA5486AA	HU65	PATH-SAFE project	traces-0OpevLH;ILLUMINA;Paired;;;Uploaded	Human	Human		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5486AA	Assembled	132	169406	5228321	Escherichia coli / Shigella;100.0%	126	56568	4.1	ESC_DC3054AA_AS
ESC_ZA5487AA	HU64	PATH-SAFE project	traces-0sWGGax;ILLUMINA;Paired;;;Uploaded	Human	Human		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5487AA	Assembled	130	199562	4865380	Escherichia coli / Shigella;100.0%	71	46054	4.1	ESC_DC3055AA_AS
ESC_ZA5488AA	CAN109	PATH-SAFE project	traces-0ecrfpA;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5488AA	Assembled	144	739752	5281733	Escherichia coli / Shigella;100.0%	68	54875	4.1	ESC_DC3056AA_AS
ESC_ZA5489AA	CAN108	PATH-SAFE project	traces-0kZOvZe;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5489AA	Assembled	172	295679	5208764	Escherichia coli / Shigella;87.48%	93	41278	4.1	ESC_DC3057AA_AS
ESC_ZA5490AA	CAN105	PATH-SAFE project	traces-0YYsvyg;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5490AA	Assembled	140	433910	5143567	Escherichia coli / Shigella;100.0%	43	83859	4.1	ESC_DC3058AA_AS
ESC_ZA5491AA	CAN104	PATH-SAFE project	traces-0ojAQYe;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5491AA	Assembled	127	469024	5073005	Escherichia coli / Shigella;100.0%	56	16074	4.1	ESC_DC3059AA_AS
ESC_ZA5492AA	CAN107	PATH-SAFE project	traces-0tBJxeq;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5492AA	Assembled	125	288482	5106981	Escherichia coli / Shigella;100.0%	86	102382	4.1	ESC_DC3060AA_AS
ESC_ZA5493AA	CAN106	PATH-SAFE project	traces-0uTyJZc;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5493AA	Assembled	135	220374	5138343	Escherichia coli / Shigella;98.73%	109	85158	4.1	ESC_DC3061AA_AS
ESC_ZA5494AA	CAN101	PATH-SAFE project	traces-0YGqngp;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5494AA	Assembled	47	337347	4540332	Escherichia coli / Shigella;97.44%	44	13558	4.1	ESC_DC3062AA_AS
ESC_ZA5495AA	CAN100	PATH-SAFE project	traces-0CNzvEb;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5495AA	Assembled	47	356202	5040206	Escherichia coli / Shigella;100.0%	72	8013	4.1	ESC_DC3063AA_AS
ESC_ZA5496AA	CAN103	PATH-SAFE project	traces-0NBNMrN;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5496AA	Assembled	132	371855	5132419	Escherichia coli / Shigella;100.0%	76	87488	4.1	ESC_DC3064AA_AS
ESC_ZA5497AA	CAN102	PATH-SAFE project	traces-0cTVuob;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5497AA	Assembled	164	344028	5171738	Escherichia coli / Shigella;97.56%	61	14794	4.1	ESC_DC3065AA_AS
ESC_ZA5498AA	CAN185	PATH-SAFE project	traces-0RGdPja;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5498AA	Assembled	57	156769	5085689	Escherichia coli / Shigella;98.22%	91	52874	4.1	ESC_DC3066AA_AS
ESC_ZA5499AA	CAN184	PATH-SAFE project	traces-0LPqhiy;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5499AA	Assembled	96	448362	5163363	Escherichia coli / Shigella;95.12%	55	75034	4.1	ESC_DC3067AA_AS
ESC_ZA5500AA	CAN187	PATH-SAFE project	traces-0FHijiI;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5500AA	Assembled	116	488149	5373220	Escherichia coli / Shigella;89.8%	87	17459	4.1	ESC_DC3068AA_AS
ESC_ZA5501AA	CAN186	PATH-SAFE project	traces-0nJWfkc;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5501AA	Assembled	133	347681	5179943	Escherichia coli / Shigella;98.18%	96	22954	4.1	ESC_DC3069AA_AS
ESC_ZA5502AA	CAN181	PATH-SAFE project	traces-0MGbTdL;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5502AA	Assembled	90	269626	4976479	Escherichia coli / Shigella;89.58%	67	19702	4.1	ESC_DC3070AA_AS
ESC_ZA5503AA	CAN180	PATH-SAFE project	traces-0kOUKwn;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5503AA	Assembled	141	362694	5117210	Escherichia coli / Shigella;100.0%	96	20100	4.1	ESC_DC3071AA_AS
ESC_ZA5504AA	CAN183	PATH-SAFE project	traces-0dEcxIq;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5504AA	Assembled	82	428676	5173523	Escherichia coli / Shigella;96.16%	75	70303	4.1	ESC_DC3072AA_AS
ESC_ZA5505AA	CAN182	PATH-SAFE project	traces-0XRxsKR;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5505AA	Assembled	89	428862	5173304	Escherichia coli / Shigella;96.08%	71	75202	4.1	ESC_DC3073AA_AS
ESC_ZA5506AA	HB02	PATH-SAFE project	traces-0geWFQH;ILLUMINA;Paired;;;Uploaded	Human	Human		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5506AA	Assembled	117	112058	5405425	Escherichia coli / Shigella;95.75%	166	70038	4.1	ESC_DC3074AA_AS
ESC_ZA5507AA	CAN189	PATH-SAFE project	traces-0IKdSAq;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5507AA	Assembled	98	347320	5107722	Escherichia coli / Shigella;97.83%	69	13242	4.1	ESC_DC3075AA_AS
ESC_ZA5508AA	CAN188	PATH-SAFE project	traces-0LBIclK;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5508AA	Assembled	96	433101	5380967	Escherichia coli / Shigella;90.9%	96	19636	4.1	ESC_DC3076AA_AS
ESC_ZA5509AA	CAN78	PATH-SAFE project	traces-0dhrzUl;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5509AA	Assembled	62	402756	5072298	Escherichia coli / Shigella;98.08%	85	10989	4.1	ESC_DC3077AA_AS
ESC_ZA5510AA	CAN79	PATH-SAFE project	traces-0mLPhfK;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5510AA	Assembled	81	428702	5226963	Escherichia coli / Shigella;98.0%	83	46859	4.1	ESC_DC3078AA_AS
ESC_ZA5511AA	CAN72	PATH-SAFE project	traces-0thAUqK;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5511AA	Assembled	47	223113	5217912	Escherichia coli / Shigella;100.0%	137	44520	4.1	ESC_DC3079AA_AS
ESC_ZA5512AA	CAN73	PATH-SAFE project	traces-0bvUugm;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5512AA	Assembled	73	386601	5354542	Escherichia coli / Shigella;97.87%	70	46372	4.1	ESC_DC3080AA_AS
ESC_ZA5513AA	CAN70	PATH-SAFE project	traces-0HHzLxP;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5513AA	Assembled	134	387553	5109174	Escherichia coli / Shigella;100.0%	36	5769	4.1	ESC_DC3081AA_AS
ESC_ZA5514AA	CAN71	PATH-SAFE project	traces-0OrHIwD;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5514AA	Assembled	88	470290	5197501	Escherichia coli / Shigella;97.37%	59	46153	4.1	ESC_DC3082AA_AS
ESC_ZA5515AA	CAN76	PATH-SAFE project	traces-0ImziNN;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5515AA	Assembled	59	425627	5109258	Escherichia coli / Shigella;100.0%	30	6259	4.1	ESC_DC3083AA_AS
ESC_ZA5516AA	CAN77	PATH-SAFE project	traces-0ohcBNm;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5516AA	Assembled	55	386656	5139583	Escherichia coli / Shigella;100.0%	63	79505	4.1	ESC_DC3084AA_AS
ESC_ZA5517AA	CAN74	PATH-SAFE project	traces-0jVGiLf;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5517AA	Assembled	94	365076	5227442	Escherichia coli / Shigella;98.72%	132	64763	4.1	ESC_DC3085AA_AS
ESC_ZA5518AA	CAN75	PATH-SAFE project	traces-0Qwtntn;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5518AA	Assembled	118	386601	5134424	Escherichia coli / Shigella;100.0%	78	12814	4.1	ESC_DC3086AA_AS
ESC_ZA5519AA	HB06	PATH-SAFE project	traces-0cOtzXk;ILLUMINA;Paired;;;Uploaded	Human	Human	Blood stream	2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5519AA	Assembled	143	237572	5151394	Escherichia coli / Shigella;100.0%	79	36677	4.1	ESC_DC3087AA_AS
ESC_ZA5520AA	HU02	PATH-SAFE project	traces-0YLtqgX;ILLUMINA;Paired;;;Uploaded	Human	Human		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5520AA	Assembled	135	340332	5117694	Escherichia coli / Shigella;93.03%	56	42245	4.1	ESC_DC3088AA_AS
ESC_ZA5521AA	HU83	PATH-SAFE project	traces-0mbuFGy;ILLUMINA;Paired;;;Uploaded	Human	Human		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5521AA	Assembled	94	204808	4714048	Escherichia coli / Shigella;94.74%	49	12809	4.1	ESC_DC3089AA_AS
ESC_ZA5522AA	HB07	PATH-SAFE project	traces-0ilbhYY;ILLUMINA;Paired;;;Uploaded	Human	Human	Blood stream	2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5522AA	Assembled	119	104801	4892078	Escherichia coli / Shigella;98.95%	120	21104	4.1	ESC_DC3090AA_AS
ESC_ZA5523AA	HB05	PATH-SAFE project	traces-0ZinufM;ILLUMINA;Paired;;;Uploaded	Human	Human	Blood stream	2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5523AA	Assembled	147	382417	5045449	Escherichia coli / Shigella;94.44%	47	21918	4.1	ESC_DC3091AA_AS
ESC_ZA5524AA	HU58	PATH-SAFE project	traces-0FNrELx;ILLUMINA;Paired;;;Uploaded	Human	Human		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5524AA	Assembled	134	72717	5152995	Escherichia coli / Shigella;99.29%	186	105110	4.1	ESC_DC3092AA_AS
ESC_ZA5525AA	CAN138	PATH-SAFE project	traces-0mQVyyG;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5525AA	Assembled	96	278633	5110796	Escherichia coli / Shigella;97.92%	56	26424	4.1	ESC_DC3093AA_AS
ESC_ZA5526AA	CAN139	PATH-SAFE project	traces-0dsYCUC;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5526AA	Assembled	182	428388	5208945	Escherichia coli / Shigella;100.0%	51	116717	4.1	ESC_DC3094AA_AS
ESC_ZA5527AA	HU50	PATH-SAFE project	traces-0kQLyNp;ILLUMINA;Paired;;;Uploaded	Human	Human		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5527AA	Assembled	163	204403	5009033	Escherichia coli / Shigella;98.25%	85	15975	4.1	ESC_DC3095AA_AS
ESC_ZA5528AA	HU59	PATH-SAFE project	traces-0eVMKoD;ILLUMINA;Paired;;;Uploaded	Human	Human		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5528AA	Assembled	94	237339	5028367	Escherichia coli / Shigella;100.0%	64	16787	4.1	ESC_DC3096AA_AS
ESC_ZA5529AA	HU56	PATH-SAFE project	traces-0guaCwI;ILLUMINA;Paired;;;Uploaded	Human	Human		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5529AA	Assembled	166	80437	5273738	Escherichia coli / Shigella;96.09%	143	60209	4.1	ESC_DC3097AA_AS
ESC_ZA5530AA	HU57	PATH-SAFE project	traces-0cvlwlp;ILLUMINA;Paired;;;Uploaded	Human	Human		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5530AA	Assembled	174	337964	5044598	Escherichia coli / Shigella;97.14%	39	15759	4.1	ESC_DC3098AA_AS
ESC_ZA5531AA	HB08	PATH-SAFE project	traces-0CaObGP;ILLUMINA;Paired;;;Uploaded	Human	Human	Blood stream	2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5531AA	Assembled	111	115747	5282933	Escherichia coli / Shigella;98.33%	213	42516	4.1	ESC_DC3829AA_AS
ESC_ZA5532AA	HB09	PATH-SAFE project	traces-0HKrPUj;ILLUMINA;Paired;;;Uploaded	Human	Human	Blood stream	2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5532AA	Assembled	75	101094	4947017	Escherichia coli / Shigella;97.88%	126	10227	4.1	ESC_DC3100AA_AS
ESC_ZA5534AA	CAN131	PATH-SAFE project	traces-0RwHFrs;ILLUMINA;Paired;;;Uploaded	Companion Animal	Canine		2022				Europe	United Kingdom		Edinburgh	Edinburgh				Alison Low	Escherichia coli												2022-06-06	2023-06-01	ESC_ZA5534AA	Assembled	168	156593	5064610	Escherichia coli / Shigella;97.06%	82	15201	4.1	ESC_DC3102AA_AS
